identifier,pm_id,pmc_id,doi,title,abstract,keywords,authors,journal,article_type,year,project_serial_num,project_num,dbgap_accession,research_initiative,sub_project,likert_score,explanation_DeepSeek-R1-Distill-Qwen-32B,explanation_Llama-3.3-70B-Instruct
39243301_phs002542.v1.p1,39243301,PMC11807383,doi:10.1007/s00216-024-05518-z,Extraction of redox extracellular vesicles using exclusion-based sample preparation.,"Studying specific subpopulations of cancer-derived extracellular vesicles (EVs) could help reveal their role in cancer progression. In cancer, an increase in reactive oxygen species (ROS) happens which results in lipid peroxidation with a major product of 4-hydroxynonenal (HNE). Adduction by HNE causes alteration to the structure of proteins, leading to loss of function. Blebbing of EVs carrying these HNE-adducted proteins as a cargo or carrying HNE-adducted on EV membrane are methods for clearing these molecules by the cells. We have referred to these EVs as Redox EVs. Here, we utilize a surface tension-mediated extraction process, termed exclusion-based sample preparation (ESP), for the rapid and efficient isolation of intact Redox EVs, from a mixed population of EVs derived from human glioblastoma cell line LN18. After optimizing different parameters, two populations of EVs were analyzed, those isolated from the sample (Redox EVs) and those remaining in the original sample (Remaining EVs). Electron microscopic imaging was used to confirm the presence of HNE adducts on the outer leaflet of Redox EVs. Moreover, the population of HNE-adducted Redox EVs shows significantly different characteristics to those of Remaining EVs including smaller size EVs and a more negative zeta potential EVs. We further treated glioblastoma cells (LN18), radiation-resistant glioblastoma cells (RR-LN18), and normal human astrocytes (NHA) with both Remaining and Redox EV populations. Our results indicate that Redox EVs promote the growth of glioblastoma cells, likely through the production of H<sub>2</sub>O<sub>2</sub>, and cause injury to normal astrocytes. In contrast, Remaining EVs have minimal impact on the viability of both glioblastoma cells and NHA cells. Thus, isolating a subpopulation of EVs employing ESP-based immunoaffinity could pave the way for a deeper mechanistic understanding of how subtypes of EVs, such as those containing HNE-adducted proteins, induce biological changes in the cells that take up these EVs.","4-Hydroxynonenal (HNE)|Aldehydes|Cell Line, Tumor|EV isolation|EV purification|Extracellular Vesicles|Extracellular vesicles|Glioblastoma|Humans|Immunoaffinity|Oxidation-Reduction|Redox EVs","Banadaki, Mohammad Dehghan|Rummel, Nicole G|Backus, Spencer|Butterfield, David Allan|St Clair, Daret K|Campbell, James M|Zhong, Weixiong|Mayer, Kristy|Berry, Scott M|Chaiswing, Luksana",Analytical and bioanalytical chemistry,Journal Article,2024,DA053903,1U01DA053903-01,phs002542.v1.p1,RADx-rad,Wastewater,2.0,"The publication abstract focuses on the extraction of redox extracellular vesicles using exclusion-based sample preparation (ESP), which is a technique mentioned in the grant abstract. However, the publication's context is about cancer research and the role of EVs in cancer progression, not related to wastewater-based testing for SARS-CoV-2. While ESP is a common method, the objectives and applications differ significantly between the two.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on wastewater-based testing for SARS-CoV-2, while the publication abstract discusses the extraction of redox extracellular vesicles using exclusion-based sample preparation, which is a different research topic. Although the grant abstract mentions the use of exclusion-based sample preparation (ESP) technology for wastewater RNA extraction, the publication abstract does not mention wastewater or SARS-CoV-2, and its focus is on cancer-derived extracellular vesicles. Therefore, the publication is not strongly related to the funding opportunity or the grant abstract."
39248697_phs002657.v1.p1,39248697,PMC11499710,doi:10.1002/sim.10192,Selection of number of clusters and warping penalty in clustering functional electrocardiogram.,"Clustering functional data aims to identify unique functional patterns in the entire domain, but this can be challenging due to phase variability that distorts the observed patterns. Curve registration can be used to remove this variability, but determining the appropriate level of warping flexibility can be complicated. Curve registration also requires a target to which a functional object is aligned, typically the cross-sectional mean of functional objects within the same cluster. However, this mean is unknown prior to clustering. Furthermore, there is a trade-off between flexible warping and the number of resulting clusters. Removing more phase variability through curve registration can lead to fewer remaining variations in the functional data, resulting in a smaller number of clusters. Thus, the optimal number of clusters and warping flexibility cannot be uniquely identified. We propose to use external information to solve the identification issue. We define a cross validated Kullback-Leibler information criterion to select the number of clusters and the warping penalty. The criterion is derived from the predictive classification likelihood considering the joint distribution of both the functional data and external variable and penalizes the uncertainty in the cluster membership. We evaluate our method through simulation and apply it to electrocardiographic data collected in the Chronic Renal Insufficiency Cohort study. We identify two distinct clusters of electrocardiogram (ECG) profiles, with the second cluster exhibiting ST segment depression, an indication of cardiac ischemia, compared to the normal ECG profiles in the first cluster.",Algorithms|CRIC study|Cluster Analysis|Computer Simulation|Electrocardiography|Humans|Kullback‐Leibler information criterion|Likelihood Functions|classification likelihood|electrocardiogram|functional clustering,"Yang, Wei|Feldman, Harold I|Guo, Wensheng",Statistics in medicine,Journal Article,2024,DK130067,1R01DK130067-01,phs002657.v1.p1,RADx-rad,Multimodal Surveillance,2.5,"The publication abstract discusses a method for clustering functional electrocardiogram data, which is related to the analysis of health data. However, it does not specifically address the objectives of the funding opportunity or the grant abstract, which focus on COVID-19 surveillance and prediction in dialysis facilities. While both involve data analysis in a healthcare setting, the publication's focus on ECG clustering does not directly contribute to the goals of early detection, containment, or management of COVID-19 in dialysis settings.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on developing and validating COVID-19 surveillance methods, particularly in high-risk settings such as dialysis facilities, using multimodal data sources. In contrast, the publication abstract discusses a method for clustering functional electrocardiogram data using curve registration and selecting the number of clusters and warping penalty. While the publication mentions the Chronic Renal Insufficiency Cohort study, which may involve patients with similar comorbidities as those in dialysis facilities, the research question and methods are not directly aligned with the objectives of the funding opportunity or grant abstract."
39282367_phs002778.v1.p1,39282367,PMC11398323,doi:10.1101/2024.09.03.610636,Dendritic cell effector mechanisms and tumor immune microenvironment infiltration define TLR8 modulation and PD-1 blockade.,"The potent immunostimulatory effects of toll-like receptor 8 (TLR8) agonism in combination with PD-1 blockade have resulted in various preclinical investigations, yet the mechanism of action in humans remains unknown. To decipher the combinatory mode of action of TLR8 agonism and PD-1 blockade, we employed a unique, open-label, phase 1b pre-operative window of opportunity clinical trial (NCT03906526) in head and neck squamous cell carcinoma (HNSCC) patients. Matched pre- and post-treatment tumor biopsies from the same lesion were obtained. We used single-cell RNA sequencing and custom multiplex staining to leverage the unique advantage of same-lesion longitudinal sampling. Patients receiving dual TLR8 agonism and anti-PD-1 blockade exhibited marked upregulation of innate immune effector genes and cytokines, highlighted by increased <i>CLEC9A+</i> dendritic cell and <i>CLEC7A/SYK</i> expression. This was revealed via comparison with a previous cohort from an anti-PD-1 blockade monotherapy single-cell RNA sequencing study. Furthermore, in dual therapy patients, post-treatment mature dendritic cells increased in adjacency to CD8<sup>+</sup> T-cells. Increased tumoral cytotoxic T-lymphocyte densities and expanded CXCL13<sup>+</sup>CD8<sup>+</sup> T-cell populations were observed in responders, with increased tertiary lymphoid structures (TLSs) across all three patients. This study provides key insights into the mode of action of TLR8 agonism and anti-PD-1 blockade immune targeting in HNSCC patients.",Cancer|Checkpoint blockade|Dendritic cells|Immune Response|Immunotherapy,"Ruiz-Torres, Daniel A|Wise, Jillian|Zhao, Brian Yinge|Oliveira-Costa, Joao Paulo|Cavallaro, Sara|Sadow, Peter|Fang, Jacy|Yilmaz, Osman|Patel, Amar|Loosbroock, Christopher|Sade-Feldman, Moshe|Faden, Daniel L|Stott, Shannon L",bioRxiv : the preprint server for biology,Journal Article|Preprint,2024,TR003793,1U18TR003793-01,phs002778.v1.p1,RADx-rad,Exosome,1.5,"The publication abstract discusses a clinical trial involving TLR8 agonism and PD-1 blockade in head and neck cancer patients, focusing on immune mechanisms and tumor microenvironment changes. This is unrelated to the funding opportunity and grant abstract, which focus on developing microfluidic technologies for SARS-CoV-2 detection. The publication does not address exosome isolation, viral detection, or any aspects of the RADx-rad initiative.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract, which focus on the development of diagnostic technologies for SARS-CoV-2 using microfluidic isolation and characterization of exosomes. The publication abstract discusses a clinical trial investigating the combination of TLR8 agonism and PD-1 blockade in head and neck squamous cell carcinoma patients, which is unrelated to the topic of SARS-CoV-2 diagnostics. While both the grant abstract and the funding opportunity mention the importance of understanding the immune response to SARS-CoV-2, the publication abstract does not explore this topic in the context of SARS-CoV-2 or exosome-based diagnostics."
39297635_phs002527.v1.p1,39297635,PMC11465841,doi:10.1128/mra.00680-24,"Nine <i>Rhizobium</i> phage genomes recovered from wastewater in Tempe, AZ, October 2019-March 2020.","We describe nine <i>Rhizobium</i> microvirus genomes identified in wastewater in Tempe, AZ, USA, between October 2019 and March 2020. The major capsid protein (MCP) encoded in these genomes phylogenetically cluster together and are distinct from the MCPs of <i>Rhizobium</i> microviruses identified in Mexico and Argentina.",Arizona|Rhizobium phage|major capsid protein|microvirus|wastewater,"Bermudez-Rivera, Brenda|Hampton, Brooklyn|Wheeler, Cian|Vargas, Jacqueline|Swaminathan, Srivatsan|Driver, Erin M|Halden, Rolf U|Varsani, Arvind|Scotch, Matthew|Faleye, Temitope O C",Microbiology resource announcements,Journal Article,2024,LM013129,3U01LM013129-02S1,phs002527.v1.p1,RADx-rad,Wastewater,1.5,"The publication abstract describes the recovery of nine Rhizobium phage genomes from wastewater in Tempe, AZ, between October 2019 and March 2020. This study focuses on the identification and characterization of bacterial viruses in wastewater samples. However, the funding opportunity and grant abstract are centered on the development of a wastewater-based epidemiology (WBE) framework for SARS-CoV-2 surveillance, including aims related to real-time monitoring, population screening, and data sharing with the RADx-rad Data Coordinating Center. The publication does not address any of these objectives, as it is focused on phage genomes rather than SARS-CoV-2 or its surveillance. Therefore, the publication is not related to the research objectives outlined in the funding opportunity or the grant abstract.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract, which focus on wastewater-based testing for SARS-CoV-2 and COVID-19 surveillance. The publication abstract discusses the discovery of Rhizobium phage genomes in wastewater, which is not directly related to the detection of SARS-CoV-2 or COVID-19. While the publication does involve wastewater analysis, the topic and focus are different from the funding opportunity and grant abstract."
39301435_phs002600.v1.p1,39301435,PMC11412618,doi:10.1016/j.mee.2023.111997,Stable electrospray signal on a microfabricated glass chip with three-dimensional open edge and tiered depth geometries.,"This paper presents the microfabrication and performance of a three-dimensional electrospray ionization (ESI) emitter tip made from glass, which achieves stable current signals important for chemical analysis. Our novel microfabrication process and custom-built signal conditioning hardware provides the advantage of providing accurate features and steady signals. The fabrication process relies on standard microfabrication techniques (i.e., deposition, photolithography, and wet etching). This fabrication method involves the novel application of two layers of positive and negative photoresists in addition to Parafilm<sup>®</sup> wax tape. Open edge and tiered depth details were successfully created from a multilayer planar mask. This is a benefit for integrated miniaturized and microfluidic systems that often require micro features for their functionality but relatively large millimeter size features for their physical periphery. We demonstrate the fundamental performance of electrospray with this microfluidic chip. The emitter tip was fixed on a linear axis stage with high resolution (10 μm) to finely control the tip distance from a metal counter electrode plate. A custom printed circuit board system was built to safely control four voltages applied to the microchip ports from a single high voltage power supply. To readily form the electrospray, non-aqueous solvents were used for their low viscosity and a constant voltage of +2.7 kV was applied to the sheath electrospray microchannel. The liquid being sprayed was 80/20 (v/v) methanol/acetonitrile with 0.1% acetic acid in the sheath microchannel and with ammonium acetate (10-40 mM) in its remaining microchannels. The electrospray signal was measured in response to varying the distance (1.4 to 1.6 mm) between the electrospray emitter tip and a metal counter electrode plate in addition to the varying concentration of the background electrolyte, ammonium acetate. Stable and repeatable electrospray signal showed linear relationships with emitter tip distance and concentration (r<sup>2</sup>≥0.95).",electrospray ionization|electrospray stability|glass etching|glass microfabrication|microfluidics|miniaturization,"Schmidt, Alexander J|Zamuruyev, Konstantin O|LeVasseur, Michael K|Fung, Stephanie|Anishchenko, Ilya M|Kenyon, Nicholas J|Davis, Cristina E",Microelectronic engineering,Journal Article,2023,TR003795,1U18TR003795-01,phs002600.v1.p1,RADx-rad,SCENT,2.5,"The publication abstract describes the development of a microfabricated glass chip for electrospray ionization, which is a component used in analytical systems. While this technology could potentially be applied in biosensing or diagnostic devices, the abstract does not explicitly connect it to the specific objectives of the funding opportunity, which focuses on portable GC detectors for COVID-19 diagnostics. The publication's focus on electrospray ionization and microfluidic systems is more general and does not directly address the development of a portable GC-DMS system for COVID-19 diagnosis as described in the grant abstract. Therefore, the relevance is neither strongly agreed nor disagreed upon, but rather neutral.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of portable sensing devices for detecting COVID-19 using volatile organic compounds (VOCs) from skin or exhaled breath, while the publication abstract discusses the microfabrication and performance of a three-dimensional electrospray ionization (ESI) emitter tip made from glass. Although the publication abstract mentions the use of non-aqueous solvents and the measurement of electrospray signals, it does not explicitly relate to COVID-19 diagnostics or VOC detection. Therefore, the publication abstract is not strongly related to the funding opportunity or grant abstract, resulting in a score of 2 (Disagree)."
39303274_phs002689.v1.p1,39303274,PMC11810588,doi:10.1146/annurev-physiol-020924-033209,Proresolving Lipid Mediators in the Respiratory System.,"Lung inflammation, infection, and injury can lead to critical illness and death. The current means to pharmacologically treat excessive uncontrolled lung inflammation needs improvement because many treatments are or will become immunosuppressive. The inflammatory response evolved to protect the host from microbes, injury, and environmental insults. This response brings phagocytes from the bloodstream to the tissue site to phagocytize and neutralize bacterial invaders and enables airway antimicrobial functions. This physiologic response is ideally self-limited with initiation and resolution phases. Polyunsaturated essential fatty acids are precursors to potent molecules that govern both phases. In the initiation phase, arachidonic acid is converted to prostaglandins and leukotrienes that activate leukocytes to transmigrate from postcapillary venules. The omega-3 fatty acids (e.g., DHA and EPA) are precursors to resolvins, protectins, and maresins, which are families of chemically distinct mediators with potent functions in resolution of acute and chronic inflammation in the respiratory system.",Animals|Humans|Inflammation Mediators|Respiratory System|cysteinyl-specialized proresolving mediators|efferocytosis|lung disease|polyunsaturated fatty acid|proresolving mediators|resolvins,"Serhan, Charles N|Levy, Bruce D",Annual review of physiology,Journal Article|Review,2025,HL146002,3U01HL146002-04S2,phs002689.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract discusses proresolving lipid mediators in the respiratory system, focusing on their role in inflammation resolution. This is unrelated to the funding opportunity and grant abstract, which are centered on developing rapid, non-invasive diagnostic tests for COVID-19 using biosensing technologies. The publication does not address any of the specific objectives related to COVID-19 testing, biosensors, or the RADx-rad initiative.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses proresolving lipid mediators in the respiratory system, which is a related but distinct topic. Although the publication abstract mentions lung inflammation and infection, it does not specifically address COVID-19 or the development of diagnostic technologies, which are the primary focus of the funding opportunity and grant abstract."
39308638_phs002583.v1.p1,39308638,PMC11412434,doi:10.1002/adfm.202400394,"Real-Time, Non-Invasive Monitoring of Neuronal Differentiation Using Intein-Enabled Fluorescence Signal Translocation in Genetically Encoded Stem Cell-Based Biosensors.","Real-time and non-invasive monitoring of neuronal differentiation will help increase our understanding of neuronal development and help develop regenerative stem cell therapies for neurodegenerative diseases. Traditionally, reverse transcription-polymerase chain reaction (RT-PCR), western blotting, and immunofluorescence (IF) staining have been widely used to investigate stem cell differentiation; however, their limitations include endpoint analysis, invasive nature of monitoring, and lack of single-cell-level resolution. Several limitations hamper current approaches to studying neural stem cell (NSC) differentiation. In particular, fixation and staining procedures can introduce artificial changes in cellular morphology, hindering our ability to accurately monitor the progression of the process and fully understand its functional aspects, particularly those related to cellular connectivity and neural network formation. Herein, we report a novel approach to monitor neuronal differentiation of NSCs non-invasively in real-time using cell-based biosensors (CBBs). Our research efforts focused on utilizing intein-mediated protein engineering to design and construct a highly sensitive biosensor capable of detecting a biomarker of neuronal differentiation, hippocalcin. Hippocalcin is a critical protein involved in neurogenesis, and the CBB functions by translocating a fluorescence signal to report the presence of hippocalcin externally. To construct the hippocalcin sensor proteins, hippocalcin bioreceptors, AP2 and glutamate ionotropic receptor AMPA-type subunit 2 (GRIA2), were fused to each split-intein carrying split-nuclear localization signal (NLS) peptides, respectively, and a fluorescent protein was introduced as a reporter. Protein splicing (PS) was triggered in the presence of hippocalcin to generate functional signal peptides, which promptly translocated the fluorescence signal to the nucleus. The stem cell-based biosensor showed fluorescence signal translocation only upon neuronal differentiation. Undifferentiated stem cells or cells that had differentiated into astrocytes or oligodendrocytes did not show fluorescence signal translocation. The number of differentiated neurons was consistent with that measured by conventional IF staining. Furthermore, this approach allowed for the monitoring of neuronal differentiation at an earlier stage than that detected using conventional approaches, and the translocation of fluorescence signal was monitored before the noticeable expression of class III β-tubulin (TuJ1), an early neuronal differentiation marker. We believe that these novel CBBs offer an alternative to current techniques by capturing the dynamics of differentiation progress at the single-cell level and by providing a tool to evaluate how NSCs efficiently differentiate into specific cell types, particularly neurons.",Cell-based biosensor|Conditional protein splicing|Hippocalcin|Neural stem cell engineering|Neuronal differentiation|Non-invasive monitoring|Real-time monitoring|Split-intein,"Lee, Euiyeon|Choi, Hye Kyu|Kwon, Youngeun|Lee, Ki-Bum",Advanced functional materials,Journal Article,2024,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract focuses on the development of a biosensor for monitoring neuronal differentiation in stem cells, which is unrelated to the funding opportunity and grant abstract that are centered on COVID-19 diagnostic technologies. The publication does not address any aspects of SARS-CoV-2 detection, biosensing for COVID-19, or the objectives outlined in the RADx-rad initiative.","The publication abstract does not directly address the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses a non-invasive monitoring system for neuronal differentiation using genetically encoded stem cell-based biosensors. Although both topics involve biosensing technologies, they are applied to different fields and do not share a direct connection. Therefore, the publication is not strongly related to the research objectives outlined in the funding opportunity and grant abstract."
39308874_phs002583.v1.p1,39308874,PMC11412436,doi:10.1002/adfm.202304382,In Situ Detection of Neuroinflammation using Multi-cellular 3D Neurovascular Unit-on-a-Chip.,"The human neurovascular system is a complex network of blood vessels and brain cells that is essential to the proper functioning of the brain. In recent years, researchers have become increasingly interested in the role of this system in developing drugs to treat neuroinflammation. This process is believed to contribute to the development of several neurodegenerative diseases, including Alzheimer's and Parkinson's diseases. While much remains to be learned about the precise mechanisms by which the neurovascular system interacts with the brain and how it can be targeted for therapeutic purposes, this area of research holds great promise for the future of neurology and medicine. Currently, creating neurovascular models begins with animal models, followed by testing on humans in clinical trials. However, the high number of medication failures that pass through animal testing indicates that animal models do not always reflect the outcome of human clinical trials. To overcome the challenges of neurovascular systems and the issues with animal models, we have developed a one-of-a-kind <i>in vitro</i> neurovascular unit-on-a-chip to accurately replicate the <i>in vivo</i> human neurovascular microenvironment. This neuroinflammation-on-a-chip platform has the potential to enhance the current methods of drug development and testing to treat neurodegenerative diseases. By replicating the human neurovascular unit in vitro, a more accurate representation of human physiology can be achieved compared to animal models. The ability to detect pro-inflammatory cytokines in situ and monitor physiological changes, such as barrier function, in real-time can provide an invaluable tool for evaluating the efficacy and safety of drugs. Moreover, using nano-sized graphene oxide for in situ detection of inflammatory responses is an innovative approach that can advance the field of neuroinflammation research. <i>Overall</i>, our developed neuroinflammation-on-a-chip system has the potential to provide a more efficient and effective method for developing drugs for treating neurodegenerative diseases and other central nervous system (CNS) diseases.",Graphene-based nanosensor|Microfluidics|Neuroinflammation|Neurovascular system|Neurovascular unit-on-a-chip|Organ-on-a-chip,"Choi, Jin-Ha|Choi, Hye Kyu|Lee, Ki-Bum",Advanced functional materials,Journal Article,2023,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,1.5,"The publication abstract focuses on a neurovascular unit-on-a-chip for detecting neuroinflammation and testing drugs for neurodegenerative diseases. This is unrelated to the funding opportunity and grant abstract, which are centered on developing biosensing technologies for COVID-19 detection using breath analysis. The publication does not address COVID-19, SARS-CoV-2, or any related diagnostic methods, making it irrelevant to the research objectives outlined in the funding opportunity.","The publication abstract is not directly related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, specifically using volatile organic compounds (VOCs) from skin and the oral cavity. In contrast, the publication abstract discusses the development of a neurovascular unit-on-a-chip for detecting neuroinflammation, which is not relevant to the diagnosis or detection of COVID-19. While both projects involve the development of innovative diagnostic platforms, they address different health concerns and do not share a common research objective."
39311380_phs002583.v1.p1,39311380,PMC11417942,doi:10.3390/antib13030075,A Novel Tetravalent Bispecific Immune Cell Engager Activates Natural Killer Cells to Kill Cancer Cells without Mediating Fratricide.,"We previously reported the structure, affinity, and anticancer activity of a bivalent bispecific natural killer cell engager (BiKE) composed of one anti-CD16a VHH and one anti-HER2 VHH fused via a linker. In this study, we explored the engineering of a tetravalent BiKE by fusing two anti-CD16a and two anti-HER2 VHHs in tandem, using bivalent BiKE as a template. The tetravalent BiKE was genetically engineered, and its tertiary structure was predicted using in silico modeling. The antigen binding and affinity of the tetravalent BiKE were assessed using ELISA, flow cytometry, and biolayer interferometry. The ability of the BiKEs to kill cancer cells was evaluated through classical and residual antibody-dependent cellular cytotoxicity (ADCC) assays. Additionally, we investigated the potential for NK cell fratricide via CD16a-CD16a crosslinking. Our results revealed that the tetravalent BiKE exhibited at least 100-fold higher affinity toward its target antigens compared to its bivalent counterpart. The residual ADCC assay indicated that the tetravalent BiKE was more effective in killing cancer cells than the bivalent BiKE, attributable to its lower K<sub>off</sub> value, which prolonged its binding to NK cell surfaces. Fratricide assays demonstrated that neither the bivalent nor the tetravalent BiKE mediated fratricide. Notably, our findings showed that daratumumab-induced NK fratricide was restricted to CD38-CD38 crosslinking and was not related to ADCC via CD16a-CD38 crosslinking. This study is the first in the literature to show the successful engineering of a tetravalent immune cell engager composed of tandem VHH units, which achieves high affinity and anticancer activity without mediating fratricide.",BiKE|CD16a|VHH|daratumumab|fratricide|immune cell engager|laNK92|multi-paratope antibody|tetravalent bispecific antibody,"Yang, Ge|Nikkhoi, Shahryar Khoshtinat|Owji, Hajar|Li, Geng|Massumi, Mohammad|Cervelli, Jessica|Vandavasi, Venu Gopal|Hatefi, Arash","Antibodies (Basel, Switzerland)",Journal Article,2024,HL150852,5U01HL150852-02,phs002583.v1.p1,RADx-rad,Novel Biosensing and VOC,1.0,"The publication abstract focuses on the development of a tetravalent bispecific immune cell engager for cancer treatment, which is unrelated to the objectives of the funding opportunity and grant abstract centered on COVID-19 diagnostics using breathalyzer technology. The publication does not address any aspects of biosensing, VOC detection, or COVID-19 testing.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of novel biosensing and detection approaches for COVID-19, while the publication abstract discusses the development of a tetravalent bispecific immune cell engager for cancer treatment, which is a completely different topic."
39314968_phs002778.v1.p1,39314968,PMC11419212,doi:10.1101/2024.09.10.24313432,Immune Cell Densities Predict Response to Immune Checkpoint-Blockade in Head and Neck Cancer.,"Immune checkpoint blockade (ICB) is the standard of care for recurrent/metastatic head and neck squamous cell carcinoma (HNSCC), yet efficacy remains low. The current approach for predicting the likelihood of response to ICB is a single proportional biomarker (PD-L1) expressed in immune and tumor cells (Combined Positive Score, CPS) without differentiation by cell type, potentially explaining its limited predictive value. Tertiary Lymphoid Structures (TLS) have shown a stronger association with ICB response than PD-L1. However, their exact composition, size, and spatial biology in HNSCC remain understudied. A detailed understanding of TLS is required for future use as a clinically applicable predictive biomarker. Pre-ICB tumor tissue sections were obtained from 9 responders (complete response, partial response, or stable disease) and 11 non-responders (progressive disease) classified via RECISTv1.1. A custom multi-immunofluorescence (mIF) staining assay was designed, optimized, and applied to characterize tumor cells (pan-cytokeratin), T cells (CD4, CD8), B cells (CD19, CD20), myeloid cells (CD16, CD56, CD163), dendritic cells (LAMP3), fibroblasts (α Smooth Muscle Actin), proliferative status (Ki67) and immunoregulatory molecules (PD1). Spatial metrics were compared among groups. Serial tissue sections were scored for TLS in both H&E and mIF slides. A machine learning model was employed to measure the effect of these metrics on achieving a response to ICB (SD, PR, or CR). A higher density of B lymphocytes (CD20+) was found in responders compared to non-responders to ICB (p=0.022). A positive correlation was observed between mIF and pathologist identification of TLS (<i>R</i> <sup><i>2</i></sup> <i>= 0.66, p-value= <0.0001</i>). TLS trended toward being more prevalent in responders to ICB (p=0.0906). The presence of TLS within 100 μm of the tumor was associated with improved overall (p=0.04) and progression-free survival (p=0.03). A multivariate machine learning model identified TLS density as a leading predictor of response to ICB with 80% accuracy. Immune cell densities and TLS spatial location within the tumor microenvironment play a critical role in the immune response to HNSCC and may potentially outperform CPS as a predictor of ICB response.",,"Ruiz-Torres, Daniel A|Bryan, Michael E|Hirayama, Shun|Merkin, Ross D|Luciani, Evelyn|Roberts, Thomas|Patel, Manisha|Park, Jong C|Wirth, Lori J|Sadow, Peter M|Sade-Feldman, Moshe|Stott, Shannon L|Faden, Daniel L",medRxiv : the preprint server for health sciences,Journal Article|Preprint,2024,TR003793,1U18TR003793-01,phs002778.v1.p1,RADx-rad,Exosome,1.0,"The publication abstract focuses on immune cell densities and their role in predicting responses to immune checkpoint blockade in head and neck cancer. This is unrelated to the funding opportunity and grant abstract, which are centered on developing microfluidic technologies for SARS-CoV-2 detection. The publication does not address any of the objectives related to exosome isolation, viral detection, or diagnostic testing for COVID-19.","The publication abstract is not related to the research objectives of the funding opportunity or the grant abstract. The funding opportunity and grant abstract focus on the development of diagnostic technologies for SARS-CoV-2, specifically using microfluidic isolation and characterization of the virus and related exosomes. In contrast, the publication abstract discusses immune cell densities and their role in predicting response to immune checkpoint-blockade in head and neck cancer, which is a completely different topic. There is no mention of SARS-CoV-2, exosomes, or diagnostic technologies in the publication abstract, indicating a strong disagreement between the publication and the funding opportunity/grant objectives."
